user_name,from_key,to_key,flight_time,dwell_time
vishnu,f,o,11.0,
vishnu,o,o,,145.0
vishnu,o,r,442.0,
vishnu,o, ,589.0,
vishnu,r,r,,176.0
vishnu, , ,,126.0
vishnu, ,y,492.0,
vishnu, ,o,565.0,
vishnu,y,y,,140.0
vishnu,y,u,51.0,
vishnu,o,o,,181.0
vishnu,u,u,,144.0
vishnu,u,r,58.0,
vishnu,r,r,,165.0
vishnu,r,s,162.0,
vishnu,r,e,301.0,
vishnu,e,e,,13.0
vishnu,s,s,,158.0
vishnu,s,e,31.0,
vishnu,e,e,,106.0
vishnu,e,l,120.0,
vishnu,l,l,,125.0
vishnu,l,f,4.0,
vishnu,f,f,,126.0
vishnu,f,Backspace,273.0,
vishnu,Backspace,Backspace,,75.0
vishnu,Backspace,Backspace,94.0,
vishnu,Backspace,Backspace,,72.0
vishnu,Backspace,Backspace,417.0,
vishnu,Backspace,Backspace,,90.0
vishnu,Backspace,l,306.0,
vishnu,Backspace,f,381.0,
vishnu,l,l,,122.0
vishnu,f,f,,112.0
vishnu,f,.,109.0,
vishnu,.,.,,147.0
vishnu,., ,182.0,
vishnu, , ,,136.0
vishnu, ,Shift,86.0,
vishnu, ,Y,346.0,
vishnu,Y,Y,,82.0
vishnu,Shift,Shift,,346.0
vishnu,Shift,o,160.0,
vishnu,o,o,,213.0
vishnu,o,u,2.0,
vishnu,u,u,,103.0
vishnu,u, ,70.0,
vishnu, , ,,134.0
vishnu, ,c,336.0,
vishnu,c,c,,132.0
vishnu,c,a,122.0,
vishnu,a,a,,143.0
vishnu,a,n,11.0,
vishnu,n,n,,141.0
vishnu,n, ,3.0,
vishnu, , ,,123.0
vishnu, ,e,279.0,
vishnu,e,e,,129.0
vishnu,e,v,80.0,
vishnu,v,v,,110.0
vishnu,v,e,79.0,
vishnu,e,e,,136.0
vishnu,e,n,38.0,
vishnu,e, ,191.0,
vishnu,n,n,,166.0
vishnu, , ,,124.0
vishnu, ,w,77.0,
vishnu,w,w,,112.0
vishnu,w,o,3.0,
vishnu,o,o,,126.0
vishnu,o,r,4.0,
vishnu,r,r,,107.0
vishnu,r,k,253.0,
vishnu,k,k,,126.0
vishnu,k, ,4.0,
vishnu, , ,,106.0
vishnu, ,t,319.0,
vishnu, ,h,429.0,
vishnu,t,t,,150.0
vishnu,h,h,,142.0
vishnu,h,r,477.0,
vishnu,r,r,,94.0
vishnu,r,o,4.0,
vishnu,r,u,181.0,
vishnu,o,o,,192.0
vishnu,u,u,,104.0
vishnu,u,g,129.0,
vishnu,u,h,226.0,
vishnu,g,g,,118.0
vishnu,h,h,,132.0
vishnu,h, ,2.0,
vishnu, , ,,128.0
vishnu, ,t,16.0,
vishnu,t,t,,158.0
vishnu,t,h,206.0,
vishnu,h,h,,105.0
vishnu,h,i,19.0,
vishnu,h,s,175.0,
vishnu,i,i,,174.0
vishnu,i, ,65.0,
vishnu,s,s,,107.0
vishnu, , ,,118.0
vishnu, ,s,211.0,
vishnu, ,e,343.0,
vishnu,s,s,,145.0
vishnu,e,e,,105.0
vishnu,e,c,174.0,
vishnu,c,c,,80.0
vishnu,c,t,124.0,
vishnu,t,t,,139.0
vishnu,t,i,2.0,
vishnu,i,i,,208.0
vishnu,i,o,328.0,
vishnu,o,o,,158.0
vishnu,o,n,3.0,
vishnu,o, ,141.0,
vishnu,n,n,,153.0
vishnu, , ,,134.0
vishnu, ,m,374.0,
vishnu,m,m,,112.0
vishnu,m,u,331.0,
vishnu,u,u,,125.0
vishnu,u,l,231.0,
vishnu,l,l,,130.0
vishnu,l,t,318.0,
vishnu,t,t,,133.0
vishnu,t,i,103.0,
vishnu,i,i,,236.0
vishnu,i,p,46.0,
vishnu,p,p,,142.0
vishnu,p,l,101.0,
vishnu,l,l,,167.0
vishnu,l,e,2.0,
vishnu,l, ,177.0,
vishnu,e,e,,248.0
vishnu, , ,,145.0
vishnu, ,t,240.0,
vishnu,t,t,,113.0
vishnu,t,i,41.0,
vishnu,i,i,,104.0
vishnu,i,m,28.0,
vishnu,i,e,170.0,
vishnu,m,m,,178.0
vishnu,m,s,110.0,
vishnu,e,e,,170.0
vishnu,e, ,208.0,
vishnu,s,s,,264.0
vishnu, , ,,147.0
vishnu, ,a,30.0,
vishnu,a,a,,136.0
vishnu,a,n,65.0,
vishnu,a,d,137.0,
vishnu,n,n,,130.0
vishnu,n, ,31.0,
vishnu,d,d,,148.0
vishnu, , ,,134.0
vishnu, ,t,70.0,
vishnu,t,t,,117.0
vishnu,t,h,85.0,
vishnu,h,h,,76.0
vishnu,h,e,64.0,
vishnu,e,e,,132.0
vishnu,e,n,160.0,
vishnu,n,n,,149.0
vishnu,n, ,15.0,
vishnu, , ,,126.0
vishnu, ,t,165.0,
vishnu,t,t,,122.0
vishnu,t,r,164.0,
vishnu,r,r,,146.0
vishnu,r,a,128.0,
vishnu,a,a,,97.0
vishnu,a,c,133.0,
vishnu,c,c,,141.0
vishnu,c,k,933.0,
vishnu,k,k,,122.0
vishnu,k, ,25.0,
vishnu, , ,,129.0
vishnu, ,y,269.0,
vishnu, ,o,279.0,
vishnu,y,y,,118.0
vishnu,o,o,,147.0
vishnu,o,u,283.0,
vishnu,u,u,,108.0
vishnu,u, ,77.0,
vishnu, , ,,114.0
vishnu, ,Backspace,353.0,
vishnu, ,r,438.0,
vishnu,Backspace,Backspace,,113.0
vishnu,Backspace, ,103.0,
vishnu,r,r,,174.0
vishnu, , ,,116.0
vishnu, ,p,312.0,
vishnu, ,r,442.0,
vishnu,p,p,,148.0
vishnu,r,r,,141.0
vishnu,r,o,31.0,
vishnu,o,o,,108.0
vishnu,o,g,122.0,
vishnu,g,g,,122.0
vishnu,g,r,101.0,
vishnu,r,r,,146.0
vishnu,r,s,129.0,
vishnu,s,s,,52.0
vishnu,s,s,102.0,
vishnu,s,s,,90.0
vishnu,s,s,91.0,
vishnu,s,s,,49.0
vishnu,s,Backspace,277.0,
vishnu,Backspace,Backspace,,77.0
vishnu,Backspace,Backspace,88.0,
vishnu,Backspace,Backspace,,68.0
vishnu,Backspace,Backspace,85.0,
vishnu,Backspace,Backspace,,65.0
vishnu,Backspace,e,182.0,
vishnu,Backspace,s,273.0,
vishnu,e,e,,110.0
vishnu,s,s,,40.0
vishnu,s,s,27.0,
vishnu,s,s,,53.0
vishnu,s,s,138.0,
vishnu,s,s,,87.0
vishnu,s,Backspace,655.0,
vishnu,Backspace,Backspace,,102.0
vishnu,Backspace,.,310.0,
vishnu,.,.,,88.0
vishnu,Shift,Shift,,217.0
vishnu,Shift, ,28.0,
vishnu, , ,,145.0
vishnu, ,g,289.0,
vishnu, ,o,377.0,
vishnu,g,g,,129.0
vishnu,o,o,,90.0
vishnu,o,o,47.0,
vishnu,o,o,,120.0
vishnu,o,d,78.0,
vishnu,o, ,206.0,
vishnu,d,d,,209.0
vishnu, , ,,145.0
vishnu, ,w,173.0,
vishnu,w,w,,106.0
